식품코드,식품명,식품대분류코드,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
1177020000000001,치킨무,17,130,22.1,3.96,0.68,0.39,2.27,1.95,245.7
7187060000000001,짜장소스,18,300,300,38.58,13.14,10.92,12.48,7.5,1623
7187070000000001,카레소스,18,435,287.1,43.06,12.09,9,11.57,6.09,761.25
3197090539000001,팥빙수,19,300,373,79.24,10.26,2.96,54.04,1.9,84
3197090439000001,인절미 빙수,19,300,508,63,20,19,47,2,223
2197090000000126,블루베리 빙수,19,521,360,46,7,0,46,0,35
2197090000000036,망고 빙수,19,595,372.5,47,5.5,7,47,127.98,155
2197090000000013,딸기 빙수,19,280,250,46,4,4.6,40,0,62
2197090000000127,오레오초코 빙수,19,230,305,48,6,12,42,0,90
2197090000000132,티라미수 빙수,19,436,520,97,10.5,10,70,0,390
2197090000000117,녹차 빙수,19,140,145,22,3,5,19,0,39
2197090000000096,커피 빙수,19,338,369.5,37.39,9.43,21.2,32,0,87
2197090000000103,쿠키앤크림 빙수,19,411.5,624.5,20,8.5,14.9,20,0,278
3197140100000001,딸기우유,19,100,73,11.04,2.04,2.31,10.24,0.6,23
2197140000000002,우유,19,244,122,11.49,8.03,4.88,12.59,0,100
2197130000000005,그릭 요거트,19,100,117,5.04,4.05,9.19,4.62,0,156
2197120000000004,딸기 요거트,19,100,75,15.8,1.73,0.55,15.6,0,33
2197120000000007,플레인 요거트,19,100,68,6,3,3.5,3.2,0,40
2197120000000014,블루베리 요거트,19,100,96,19.21,1.46,1.44,17.91,0,22
2197120000000012,망고 요거트,19,125,137,12,11,5,11,0,50
2197150000000001,블루베리 크림치즈,19,74,230,8,5,4.9,8,0,270
2197150000000003,플레인 크림치즈,19,20,50,0.2,1,5,0.2,0,65
2197110000000277,카라멜 아이스크림,19,98,379.26,49.4,5.4,17.7,13,0,0
2197110000000282,쿠키 아이스크림,19,100,195,30,3,7,24,0,85
2197110000000289,피치 요거트 아이스크림,19,115,220.8,44,2,4.11,35.99,0,32.2
2197110000000291,흑당 아이스크림,19,100,162,34.19,1.94,1.74,25.16,0,48
2197110000000263,인절미 아이스크림,19,100,130,18,1,6,12,0,20
2197110000000265,청포도 아이스크림,19,100,95,24,0,0.8,16,0,34
2197110000000266,초코 아몬드 아이스크림,19,115,308.2,34.99,6,16,26,0,115
